Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",3.28844537815126,3.29523330758771,3.3576145039733856
"I_B,rms (A)",3.28844537815126,3.29523330758771,3.3576264189171923
"I_B,avg (A)",3.28844537815126,3.28844537815126,2.995862945070517
"I_Q,rms (A)",2.32528202645232,2.33008181738705,2.6851164989516514
"I_D,rms (A)",2.32528202645232,2.33008181738705,2.0158879100636913
"I_D,avg (A)",1.64422268907563,1.64422268907563,1.000151903751755
"I_C,rms (A)",1.64422268907563,1.65100364156068,1.7503024245918077
