Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.31176470588235,2.36237605816317,3.3576145039733856
"I_B,rms (A)",2.31176470588235,2.36237605816317,3.3576264189171923
"I_B,avg (A)",2.31176470588235,2.31176470588235,2.995862945070517
"I_Q,rms (A)",1.62737228003337,1.66300026221824,2.6851164989516514
"I_D,rms (A)",1.64192433368360,1.67787090327135,2.0158879100636913
"I_D,avg (A)",1.16617210682493,1.16617210682493,1.000151903751755
"I_C,rms (A)",1.15583655194229,1.20635541417449,1.7503024245918077
