Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.30805275876332,1.31955905947895,3.3576145039733856
"I_B,rms (A)",1.30805275876332,1.31955905947895,3.3576264189171923
"I_B,avg (A)",1.17766124110893,1.17766124110893,2.995862945070517
"I_Q,rms (A)",0.982416197588542,0.991516932590981,2.6851164989516514
"I_D,rms (A)",0.863632117526901,0.870706772592436,2.0158879100636913
"I_D,avg (A)",0.475005295488244,0.475005295488244,1.000151903751755
"I_C,rms (A)",0.721269993609970,0.729726149385139,1.7503024245918077
