Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.67237295611201,1.67710122799184,3.3576145039733856
"I_B,rms (A)",1.67237295611201,1.67710122799184,3.3576264189171923
"I_B,avg (A)",1.50566465908754,1.50566465908754,2.995862945070517
"I_Q,rms (A)",1.23536352432473,1.23907315069167,2.6851164989516514
"I_D,rms (A)",1.12725696587016,1.13020628920864,2.0158879100636913
"I_D,avg (A)",0.632963784183296,0.632963784183296,1.000151903751755
"I_C,rms (A)",0.932772809967765,0.936334931570500,1.7503024245918077
