Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.03996634413126,2.04210625448533,3.3576145039733856
"I_B,rms (A)",2.03996634413126,2.04210625448533,3.3576264189171923
"I_B,avg (A)",2.03996634413126,2.03996634413126,2.995862945070517
"I_Q,rms (A)",1.35726446745488,1.35868822833970,2.6851164989516514
"I_D,rms (A)",1.52292345525725,1.52452099125569,2.0158879100636913
"I_D,avg (A)",1.13692848769050,1.13692848769050,1.000151903751755
"I_C,rms (A)",1.01325686005596,1.01565637233123,1.7503024245918077
