Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.78021978021978,2.78158601184822,3.3576145039733856
"I_B,rms (A)",2.78021978021978,2.78158601184822,3.3576264189171923
"I_B,avg (A)",2.78021978021978,2.78021978021978,2.995862945070517
"I_Q,rms (A)",1.79058024815070,1.79146015965470,2.6851164989516514
"I_D,rms (A)",2.12683906331859,2.12788421622973,2.0158879100636913
"I_D,avg (A)",1.62700964630225,1.62700964630225,1.000151903751755
"I_C,rms (A)",1.36977516844821,1.37139740721610,1.7503024245918077
