Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.329450000000000,0.346208532339946,3.3576145039733856
"I_B,rms (A)",0.329450000000000,0.346208532339946,3.3576264189171923
"I_B,avg (A)",0.329450000000000,0.329450000000000,2.995862945070517
"I_Q,rms (A)",0.232761793471351,0.244601969654060,2.6851164989516514
"I_D,rms (A)",0.233150702336493,0.245010661617681,2.0158879100636913
"I_D,avg (A)",0.165000000000000,0.165000000000000,1.000151903751755
"I_C,rms (A)",0.164724770450591,0.181122125391498,1.7503024245918077
