Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.47058823529412,1.63326688702578,3.3576145039733856
"I_B,rms (A)",1.47058823529412,1.63326688702578,3.3576264189171923
"I_B,avg (A)",1.47058823529412,1.47058823529412,2.995862945070517
"I_Q,rms (A)",0.831890330807703,0.923915273042700,2.6851164989516514
"I_D,rms (A)",1.21267812518166,1.34682637800621,2.0158879100636913
"I_D,avg (A)",1.00000000000000,1.00000000000000,1.000151903751755
"I_C,rms (A)",0.685994340570035,0.902186949857583,1.7503024245918077
