Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.72165129332377,1.72343969048611,3.3576145039733856
"I_B,rms (A)",1.72165129332377,1.72343969048611,3.3576264189171923
"I_B,avg (A)",1.55003075011237,1.55003075011237,2.995862945070517
"I_Q,rms (A)",1.25947531321277,1.26087232714335,2.6851164989516514
"I_D,rms (A)",1.17379943397967,1.17492354703910,2.0158879100636913
"I_D,avg (A)",0.666666666666667,0.666666666666667,1.000151903751755
"I_C,rms (A)",0.966105929371388,0.967471393345822,1.7503024245918077
