Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.615229419815269,0.629283793418699,3.3576145039733856
"I_B,rms (A)",0.615229419815269,0.629283793418699,3.3576264189171923
"I_B,avg (A)",0.553901084839557,0.553901084839557,2.995862945070517
"I_Q,rms (A)",0.464750171765937,0.475896752082001,2.6851164989516514
"I_D,rms (A)",0.403130892948884,0.411728519800646,2.0158879100636913
"I_D,avg (A)",0.220049916805324,0.220049916805324,1.000151903751755
"I_C,rms (A)",0.337775888665450,0.347991965613002,1.7503024245918077
