Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.82400000000000,1.87286327007669,3.3576145039733856
"I_B,rms (A)",1.82400000000000,1.87286327007669,3.3576264189171923
"I_B,avg (A)",1.82400000000000,1.82400000000000,2.995862945070517
"I_Q,rms (A)",1.28976276888426,1.32431431850644,2.6851164989516514
"I_D,rms (A)",1.28976276888426,1.32431431850644,2.0158879100636913
"I_D,avg (A)",0.912000000000000,0.912000000000000,1.000151903751755
"I_C,rms (A)",0.912000000000000,0.960241851931681,1.7503024245918077
