Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.49632738719832,2.50441709956183,3.3576145039733856
"I_B,rms (A)",2.49632738719832,2.50441709956183,3.3576264189171923
"I_B,avg (A)",2.49632738719832,2.49632738719832,2.995862945070517
"I_Q,rms (A)",1.72087377853864,1.72645052057723,2.6851164989516514
"I_D,rms (A)",1.80838155885713,1.81424188259898,2.0158879100636913
"I_D,avg (A)",1.31002202643172,1.31002202643172,1.000151903751755
"I_C,rms (A)",1.24662991809048,1.25511589060135,1.7503024245918077
