Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.0823625000000000,0.859504338951055,3.3576145039733856
"I_B,rms (A)",0.0823625000000000,0.859504338951055,3.3576264189171923
"I_B,avg (A)",0.0823625000000000,0.0823625000000000,2.995862945070517
"I_Q,rms (A)",0.0824998854165871*I,0.860938041930751*I,2.6851164989516514
"I_D,rms (A)",0.116575351168247,1.21653689657127,2.0158879100636913
"I_D,avg (A)",0.165000000000000,0.165000000000000,1.000151903751755
"I_C,rms (A)",0.116769805600592*I,1.20529540807192,1.7503024245918077
