Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.62000000000000,2.62853257184733,3.3576145039733856
"I_B,rms (A)",2.62000000000000,2.62853257184733,3.3576264189171923
"I_B,avg (A)",2.62000000000000,2.62000000000000,2.995862945070517
"I_Q,rms (A)",1.85261976670875,1.85865320612296,2.6851164989516514
"I_D,rms (A)",1.85261976670875,1.85865320612296,2.0158879100636913
"I_D,avg (A)",1.31000000000000,1.31000000000000,1.000151903751755
"I_C,rms (A)",1.31000000000000,1.31851876764465,1.7503024245918077
