Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.23773584905660,1.24181575505286,3.3576145039733856
"I_B,rms (A)",1.23773584905660,1.24181575505286,3.3576264189171923
"I_B,avg (A)",1.23773584905660,1.23773584905660,2.995862945070517
"I_Q,rms (A)",0.852857743707316,0.855668989277330,2.6851164989516514
"I_D,rms (A)",0.897008194521287,0.899964971699802,2.0158879100636913
"I_D,avg (A)",0.650077075534023,0.650077075534023,1.000151903751755
"I_C,rms (A)",0.618080493870717,0.622363837438968,1.7503024245918077
