Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.52205294117647,1.54065024753214,3.3576145039733856
"I_B,rms (A)",1.52205294117647,1.54065024753214,3.3576264189171923
"I_B,avg (A)",1.52205294117647,1.52205294117647,2.995862945070517
"I_Q,rms (A)",1.09589249010183,1.10928272628872,2.6851164989516514
"I_D,rms (A)",1.05625035189691,1.06915621794867,2.0158879100636913
"I_D,avg (A)",0.733000000000000,0.733000000000000,1.000151903751755
"I_C,rms (A)",0.760510227335802,0.778335415086779,1.7503024245918077
