Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",3.25400000000000,3.25569613651725,3.3576145039733856
"I_B,rms (A)",3.25400000000000,3.25569613651725,3.3576264189171923
"I_B,avg (A)",3.25400000000000,3.25400000000000,2.995862945070517
"I_Q,rms (A)",2.30092546598103,2.30212481561419,2.6851164989516514
"I_D,rms (A)",2.30092546598103,2.30212481561419,2.0158879100636913
"I_D,avg (A)",1.62700000000000,1.62700000000000,1.000151903751755
"I_C,rms (A)",1.62700000000000,1.62869569492483,1.7503024245918077
