Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",3.28844537815126,3.29407678476162,3.3576145039733856
"I_B,rms (A)",3.28844537815126,3.29407678476162,3.3576264189171923
"I_B,avg (A)",3.28844537815126,3.28844537815126,2.995862945070517
"I_Q,rms (A)",2.21909784791212,2.22289801511964,2.6851164989516514
"I_D,rms (A)",2.42682462210934,2.43098051787393,2.0158879100636913
"I_D,avg (A)",1.79096109839817,1.79096109839817,1.000151903751755
"I_C,rms (A)",1.63766177536773,1.64381404736272,1.7503024245918077
