Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.962296619952920,0.965917136464593,3.3576145039733856
"I_B,rms (A)",0.962296619952920,0.965917136464593,3.3576264189171923
"I_B,avg (A)",0.866371347926448,0.866371347926448,2.995862945070517
"I_Q,rms (A)",0.708501638014128,0.711337729846527,2.6851164989516514
"I_D,rms (A)",0.651183701964441,0.653448198874823,2.0158879100636913
"I_D,avg (A)",0.367082961641392,0.367082961641392,1.000151903751755
"I_C,rms (A)",0.537857149228955,0.540596566660698,1.7503024245918077
