Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.420128489286568,0.441002590394229,3.3576145039733856
"I_B,rms (A)",0.420128489286568,0.441002590394229,3.3576264189171923
"I_B,avg (A)",0.378248533787134,0.378248533787134,2.995862945070517
"I_Q,rms (A)",0.319156482502082,0.335753406813938,2.6851164989516514
"I_D,rms (A)",0.273216191297500,0.285924700834422,2.0158879100636913
"I_D,avg (A)",0.148011982570806,0.148011982570806,1.000151903751755
"I_C,rms (A)",0.229650909431188,0.244633169383698,1.7503024245918077
