Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.88494807065509,2.88605578239683,3.3576145039733856
"I_B,rms (A)",2.88494807065509,2.88605578239683,3.3576264189171923
"I_B,avg (A)",2.59736581927674,2.59736581927674,2.995862945070517
"I_Q,rms (A)",2.09417440690218,2.09503687295972,2.6851164989516514
"I_D,rms (A)",1.98427793513218,1.98497820644090,2.0158879100636913
"I_D,avg (A)",1.13692848769050,1.13692848769050,1.000151903751755
"I_C,rms (A)",1.62626951571079,1.62712387172063,1.7503024245918077
