Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.760739340746226,0.781035238794554,3.3576145039733856
"I_B,rms (A)",0.760739340746226,0.781035238794554,3.3576264189171923
"I_B,avg (A)",0.684906040816428,0.684906040816428,2.995862945070517
"I_Q,rms (A)",0.575564966067688,0.591673975748667,2.6851164989516514
"I_D,rms (A)",0.497442774994777,0.509841103345573,2.0158879100636913
"I_D,avg (A)",0.270967073928350,0.270967073928350,1.000151903751755
"I_C,rms (A)",0.417164427104245,0.431873587415739,1.7503024245918077
