Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",3.58193277310924,3.58816553930071,3.3576145039733856
"I_B,rms (A)",3.58193277310924,3.58816553930071,3.3576264189171923
"I_B,avg (A)",3.58193277310924,3.58193277310924,2.995862945070517
"I_Q,rms (A)",2.53280895361988,2.53721618485942,2.6851164989516514
"I_D,rms (A)",2.53280895361988,2.53721618485942,2.0158879100636913
"I_D,avg (A)",1.79096638655462,1.79096638655462,1.000151903751755
"I_C,rms (A)",1.79096638655462,1.79719374886072,1.7503024245918077
