Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.22787979966611,1.23195781944695,3.3576145039733856
"I_B,rms (A)",1.22787979966611,1.23195781944695,3.3576264189171923
"I_B,avg (A)",1.22787979966611,1.22787979966611,2.995862945070517
"I_Q,rms (A)",0.842341856478349,0.845139432229558,2.6851164989516514
"I_D,rms (A)",0.893391850898974,0.896358973284238,2.0158879100636913
"I_D,avg (A)",0.650022094564737,0.650022094564737,1.000151903751755
"I_C,rms (A)",0.612878679536470,0.617195824325510,1.7503024245918077
