Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.27400000000000,2.27644904152471,3.3576145039733856
"I_B,rms (A)",2.27400000000000,2.27644904152471,3.3576264189171923
"I_B,avg (A)",2.27400000000000,2.27400000000000,2.995862945070517
"I_Q,rms (A)",1.60796082041821,1.60969255428774,2.6851164989516514
"I_D,rms (A)",1.60796082041821,1.60969255428774,2.0158879100636913
"I_D,avg (A)",1.13700000000000,1.13700000000000,1.000151903751755
"I_C,rms (A)",1.13700000000000,1.13944772557998,1.7503024245918077
