Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.87246668611788,1.88026674473729,3.3576145039733856
"I_B,rms (A)",1.87246668611788,1.88026674473729,3.3576264189171923
"I_B,avg (A)",1.68581230897255,1.68581230897255,2.995862945070517
"I_Q,rms (A)",1.39584692709507,1.40199347195917,2.6851164989516514
"I_D,rms (A)",1.24809568813474,1.25292351560215,2.0158879100636913
"I_D,avg (A)",0.693023255813953,0.693023255813953,1.000151903751755
"I_C,rms (A)",1.03800848437841,1.04380846080585,1.7503024245918077
