Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",4.62352941176471,4.64904170838169,3.3576145039733856
"I_B,rms (A)",4.62352941176471,4.64904170838169,3.3576264189171923
"I_B,avg (A)",4.62352941176471,4.62352941176471,2.995862945070517
"I_Q,rms (A)",3.25474456006673,3.27270400213660,2.6851164989516514
"I_D,rms (A)",3.28384866736720,3.30196870376925,2.0158879100636913
"I_D,avg (A)",2.33234421364985,2.33234421364985,1.000151903751755
"I_C,rms (A)",2.31167310388458,2.33734203524551,1.7503024245918077
