Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.64000000000000,1.65365972473393,3.3576145039733856
"I_B,rms (A)",1.64000000000000,1.65365972473393,3.3576264189171923
"I_B,avg (A)",1.64000000000000,1.64000000000000,2.995862945070517
"I_Q,rms (A)",1.15965512114594,1.16931400513444,2.6851164989516514
"I_D,rms (A)",1.15965512114594,1.16931400513444,2.0158879100636913
"I_D,avg (A)",0.820000000000000,0.820000000000000,1.000151903751755
"I_C,rms (A)",0.820000000000000,0.833603768347739,1.7503024245918077
