Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.164725000000000,0.164726537762702,3.3576145039733856
"I_B,rms (A)",0.164725000000000,0.164726537762702,3.3576264189171923
"I_B,avg (A)",0.164725000000000,0.164725000000000,2.995862945070517
"I_Q,rms (A)",0.00673048103778616*I,0.00673054386906681*I,2.6851164989516514
"I_D,rms (A)",0.164862442660541,0.164863981706315,2.0158879100636913
"I_D,avg (A)",0.165000000000000,0.165000000000000,1.000151903751755
"I_C,rms (A)",0.00673609679265367*I,0.00669832336780975*I,1.7503024245918077
