Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.979877079239983,0.995548462507906,3.3576145039733856
"I_B,rms (A)",0.979877079239983,0.995548462507906,3.3576264189171923
"I_B,avg (A)",0.882199322268126,0.882199322268126,2.995862945070517
"I_Q,rms (A)",0.739826934500199,0.752254561578171,2.6851164989516514
"I_D,rms (A)",0.642506962925632,0.652096477361050,2.0158879100636913
"I_D,avg (A)",0.350954019393181,0.350954019393181,1.000151903751755
"I_C,rms (A)",0.538188139668359,0.549600847941905,1.7503024245918077
