Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.07972582701926,2.13180644330676,3.3576145039733856
"I_B,rms (A)",2.07972582701926,2.13180644330676,3.3576264189171923
"I_B,avg (A)",1.87241109519877,1.87241109519877,2.995862945070517
"I_Q,rms (A)",1.35229855750838,1.39187981698172,2.6851164989516514
"I_D,rms (A)",1.58004687491596,1.61470408645150,2.0158879100636913
"I_D,avg (A)",1.00000000000000,1.00000000000000,1.000151903751755
"I_C,rms (A)",1.22333483843619,1.26778124564263,1.7503024245918077
