Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.15250791206162,2.16126229657987,3.3576145039733856
"I_B,rms (A)",2.15250791206162,2.16126229657987,3.3576264189171923
"I_B,avg (A)",1.93793799388635,1.93793799388635,2.995862945070517
"I_Q,rms (A)",1.65507670883547,1.66209303218546,2.6851164989516514
"I_D,rms (A)",1.37623086702713,1.38148523950800,2.0158879100636913
"I_D,avg (A)",0.733000000000000,0.733000000000000,1.000151903751755
"I_C,rms (A)",1.16478427159636,1.17098781675066,1.7503024245918077
