Param,Model Simple,Model with Ripple,Sim
"I_L,rms (A)",2.35294117647059,2.41967647904924,2.42001443979
"I_B,rms (A)",2.35294117647059,2.41967647904924,2.4200326733
"I_B,avg (A)",2.35294117647059,2.35294117647059,2.35330581594
"I_Q,rms (A)",1.78420598683566,1.83481053555316,1.83538062386
"I_D,rms (A)",1.53392997769474,1.57743607220301,1.57730020363
"I_D,avg (A)",1.00000000000000,1.00000000000000,1.00027191845
"I_C,rms (A)",1.16315999607560,1.21996088539234,1.2195811495
