Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.815713417901980,0.826187118661606,3.3576145039733856
"I_B,rms (A)",0.815713417901980,0.826187118661606,3.3576264189171923
"I_B,avg (A)",0.734400099445433,0.734400099445433,2.995862945070517
"I_Q,rms (A)",0.613621948374462,0.621912065602976,2.6851164989516514
"I_D,rms (A)",0.537453704628091,0.543884673161329,2.0158879100636913
"I_D,avg (A)",0.294992285032964,0.294992285032964,1.000151903751755
"I_C,rms (A)",0.449261656932226,0.456935541921218,1.7503024245918077
