Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.330000000000000,0.346732041324799,3.3576145039733856
"I_B,rms (A)",0.330000000000000,0.346732041324799,3.3576264189171923
"I_B,avg (A)",0.330000000000000,0.330000000000000,2.995862945070517
"I_Q,rms (A)",0.233345237791561,0.245176577675420,2.6851164989516514
"I_D,rms (A)",0.233345237791561,0.245176577675420,2.0158879100636913
"I_D,avg (A)",0.165000000000000,0.165000000000000,1.000151903751755
"I_C,rms (A)",0.165000000000000,0.181346503248977,1.7503024245918077
