Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.25742454844287,1.26400555705361,3.3576145039733856
"I_B,rms (A)",1.25742454844287,1.26400555705361,3.3576264189171923
"I_B,avg (A)",1.13207983729960,1.13207983729960,2.995862945070517
"I_Q,rms (A)",0.938501450991047,0.943690386336685,2.6851164989516514
"I_D,rms (A)",0.836858125081224,0.840927168664513,2.0158879100636913
"I_D,avg (A)",0.463967843812805,0.463967843812805,1.000151903751755
"I_C,rms (A)",0.696466339044579,0.701350371002832,1.7503024245918077
