Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",11.7647058823529,11.7671263496126,3.3576145039733856
"I_B,rms (A)",11.7647058823529,11.7671263496126,3.3576264189171923
"I_B,avg (A)",11.7647058823529,11.7647058823529,2.995862945070517
"I_Q,rms (A)",8.47069932716131,8.47244208644426,2.6851164989516514
"I_D,rms (A)",8.16428548049974,8.16596519828457,2.0158879100636913
"I_D,avg (A)",5.66572237960340,5.66572237960340,1.000151903751755
"I_C,rms (A)",5.87836263974587,5.88069532766798,1.7503024245918077
