Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.595397256871069,0.621569966494312,3.3576145039733856
"I_B,rms (A)",0.595397256871069,0.621569966494312,3.3576264189171923
"I_B,avg (A)",0.536045864956207,0.536045864956207,2.995862945070517
"I_Q,rms (A)",0.452138457951167,0.472946630294574,2.6851164989516514
"I_D,rms (A)",0.387387026539526,0.403324569225268,2.0158879100636913
"I_D,avg (A)",0.209966233500460,0.209966233500460,1.000151903751755
"I_C,rms (A)",0.325550133037548,0.344361567150544,1.7503024245918077
