Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.30000000000000,1.30430800760335,3.3576145039733856
"I_B,rms (A)",1.30000000000000,1.30430800760335,3.3576264189171923
"I_B,avg (A)",1.30000000000000,1.30000000000000,2.995862945070517
"I_Q,rms (A)",0.919238815542512,0.922285036932245,2.6851164989516514
"I_D,rms (A)",0.919238815542512,0.922285036932245,2.0158879100636913
"I_D,avg (A)",0.650000000000000,0.650000000000000,1.000151903751755
"I_C,rms (A)",0.650000000000000,0.654300916512511,1.7503024245918077
