Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",2.79800000000000,2.83002959540146,3.3576145039733856
"I_B,rms (A)",2.79800000000000,2.83002959540146,3.3576264189171923
"I_B,avg (A)",2.79800000000000,2.79800000000000,2.995862945070517
"I_Q,rms (A)",1.97848477375996,2.00113311786699,2.6851164989516514
"I_D,rms (A)",1.97848477375996,2.00113311786699,2.0158879100636913
"I_D,avg (A)",1.39900000000000,1.39900000000000,1.000151903751755
"I_C,rms (A)",1.39900000000000,1.43085036094766,1.7503024245918077
