Param,Model Simple,Model with Ripple,Sim
"I_L,rms (A)",3.32756132323081,3.35738859049646,3.35761450397
"I_B,rms (A)",3.32756132323081,3.35738859049646,3.35762641892
"I_B,avg (A)",2.99585775231803,2.99585775231803,2.99586294507
"I_Q,rms (A)",2.66048630080496,2.68499763360524,2.68511649895
"I_D,rms (A)",1.99861877382624,2.01565023134722,2.01588791006
"I_D,avg (A)",1.00000000000000,1.00000000000000,1.00015190375
"I_C,rms (A)",1.73045572121644,1.75009881296174,1.75030242459
