Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.35000000000000,1.41539027660518,3.3576145039733856
"I_B,rms (A)",1.35000000000000,1.41539027660518,3.3576264189171923
"I_B,avg (A)",1.35000000000000,1.35000000000000,2.995862945070517
"I_Q,rms (A)",0.954594154601839,1.00083206261302,2.6851164989516514
"I_D,rms (A)",0.954594154601839,1.00083206261302,2.0158879100636913
"I_D,avg (A)",0.675000000000000,0.675000000000000,1.000151903751755
"I_C,rms (A)",0.675000000000000,0.738945070728698,1.7503024245918077
