Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.326794657762938,0.343344006719235,3.3576145039733856
"I_B,rms (A)",0.326794657762938,0.343344006719235,3.3576264189171923
"I_B,avg (A)",0.326794657762938,0.326794657762938,2.995862945070517
"I_Q,rms (A)",0.229881980903984,0.241523533268358,2.6851164989516514
"I_D,rms (A)",0.232269290260370,0.244031739385652,2.0158879100636913
"I_D,avg (A)",0.165085388994307,0.165085388994307,1.000151903751755
"I_C,rms (A)",0.163388608962358,0.179717289563873,1.7503024245918077
