Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",0.983800739042153,0.986927092078910,3.3576145039733856
"I_B,rms (A)",0.983800739042153,0.986927092078910,3.3576264189171923
"I_B,avg (A)",0.885731857207070,0.885731857207070,2.995862945070517
"I_Q,rms (A)",0.719700178978726,0.722142166325650,2.6851164989516514
"I_D,rms (A)",0.670742533702669,0.672707794435169,2.0158879100636913
"I_D,avg (A)",0.380952380952381,0.380952380952381,1.000151903751755
"I_C,rms (A)",0.552060531069364,0.554446625150287,1.7503024245918077
