Param,Model Simple,Model with Ripple,Ideal Sim
"I_L,rms (A)",1.32964265166640,1.33218706665895,3.3576145039733856
"I_B,rms (A)",1.32964265166640,1.33218706665895,3.3576264189171923
"I_B,avg (A)",1.19709897395366,1.19709897395366,2.995862945070517
"I_Q,rms (A)",0.973447147880837,0.975435339443578,2.6851164989516514
"I_D,rms (A)",0.905731876116280,0.907330303218169,2.0158879100636913
"I_D,avg (A)",0.513961407491487,0.513961407491487,1.000151903751755
"I_C,rms (A)",0.745784086061432,0.747724515277749,1.7503024245918077
